model,run,SPY,QQQ,IWM,EFA,EEM,TLT,LQD,GLD,DBC,VNQ,CASH,turnover,viol_r1,viol_r2,viol_r3,viol_r4,viol_r5,full_repair
claude-opus,run_001,17.0,13.0,6.0,9.0,2.0,12.0,10.0,9.0,4.0,5.0,13.0,6.0,False,False,False,False,False,True
claude-opus,run_002,18.0,13.0,6.0,8.0,3.0,12.0,9.0,9.0,3.0,5.0,14.0,4.0,False,False,False,False,False,True
claude-opus,run_003,18.0,13.0,6.0,9.0,2.0,12.0,9.0,9.0,3.0,5.0,14.0,5.0,False,False,False,False,False,True
claude-opus,run_004,18.0,13.0,7.0,10.0,2.0,10.0,8.0,10.0,3.0,6.0,13.0,6.0,False,False,False,False,False,True
claude-opus,run_005,19.0,13.0,6.0,9.0,2.0,11.0,8.0,9.0,3.0,6.0,14.0,6.0,False,False,False,False,False,True
claude-opus,run_006,17.0,13.0,5.0,8.0,3.0,12.0,9.0,9.0,4.0,5.0,15.0,5.0,False,False,False,False,False,True
claude-opus,run_007,19.0,13.0,7.0,9.0,2.0,11.0,8.0,9.0,3.0,5.0,14.0,6.0,False,False,False,False,False,True
claude-opus,run_008,19.0,13.0,6.0,9.0,2.0,11.0,9.0,9.0,4.0,5.0,13.0,6.0,False,False,False,False,False,True
claude-opus,run_009,17.0,13.0,7.0,9.0,2.0,11.0,9.0,9.0,3.0,5.0,15.0,7.0,False,False,False,False,False,True
claude-opus,run_010,19.0,13.0,6.0,9.0,3.0,12.0,9.0,9.0,3.0,5.0,12.0,4.0,False,False,False,False,False,True
claude-sonnet,run_001,18.0,15.0,5.0,8.0,4.0,12.0,8.0,10.0,3.0,5.0,12.0,0.0,False,False,False,False,False,True
claude-sonnet,run_002,18.0,15.0,5.0,8.0,4.0,12.0,8.0,10.0,3.0,5.0,12.0,0.0,False,False,False,False,False,True
claude-sonnet,run_003,18.0,15.0,5.0,8.0,4.0,12.0,8.0,10.0,3.0,5.0,12.0,0.0,False,False,False,False,False,True
claude-sonnet,run_004,18.0,13.0,5.0,8.0,3.0,13.0,8.0,9.0,3.0,6.0,14.0,4.0,False,False,False,False,False,True
claude-sonnet,run_005,18.0,13.0,5.0,8.0,3.0,12.0,8.0,10.0,3.0,5.0,15.0,3.0,False,False,False,False,False,True
claude-sonnet,run_006,18.0,13.0,5.0,8.0,2.0,14.0,8.0,8.0,3.0,5.0,16.0,6.0,False,False,False,False,False,True
claude-sonnet,run_007,18.0,13.0,5.0,8.0,3.0,13.0,8.0,10.0,3.0,5.0,14.0,3.0,False,False,False,False,False,True
claude-sonnet,run_008,18.0,13.0,5.0,8.0,3.0,13.0,8.0,9.0,3.0,5.0,15.0,4.0,False,False,False,False,False,True
claude-sonnet,run_009,18.0,13.0,5.0,8.0,2.0,12.0,8.0,10.0,3.0,5.0,16.0,4.0,False,False,False,False,False,True
claude-sonnet,run_010,18.0,13.0,5.0,8.0,2.0,12.0,8.0,8.0,3.0,5.0,18.0,6.0,False,False,False,False,False,True
google-antigravity-gemini-3.1-pro-high,run_001,17.0,15.0,5.0,8.0,4.0,13.0,8.0,10.0,3.0,5.0,12.0,1.0,False,False,False,False,False,True
google-antigravity-gemini-3.1-pro-high,run_002,19.0,14.0,5.0,8.0,4.0,12.0,8.0,10.0,3.0,5.0,12.0,1.0,False,False,False,False,False,True
google-antigravity-gemini-3.1-pro-high,run_003,18.0,13.0,5.0,8.0,3.0,12.0,8.0,10.0,3.0,5.0,15.0,3.0,False,False,False,False,False,True
